2026-04-21 14:46:14 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:46:14 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:46:14 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:46:44 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:46:44 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:46:44 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:47:14 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:47:14 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:47:14 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:47:44 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:47:44 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:47:44 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:48:14 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:48:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:48:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:48:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:48:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:48:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:49:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:49:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:49:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:49:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:49:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:49:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:50:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:50:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:50:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:50:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:50:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:50:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:51:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:51:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:51:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:51:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:51:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:51:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:52:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:52:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:52:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:52:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:52:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:52:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:53:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:53:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:53:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:53:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:53:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:53:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:54:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:54:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:54:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:54:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:54:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:54:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:55:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:55:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:55:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:55:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:55:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:55:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:56:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:56:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:56:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:56:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:56:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:56:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:57:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:57:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:57:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:57:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:57:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:57:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:58:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:58:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:58:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:58:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:58:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:58:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:59:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:59:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:59:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 14:59:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 14:59:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 14:59:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:00:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:00:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:00:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:00:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:00:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:00:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:01:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:01:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:01:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:01:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:01:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:01:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:02:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:02:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:02:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:02:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:02:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:02:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:03:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:03:15 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:03:15 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:03:45 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:03:45 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:03:45 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:04:15 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:04:16 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:04:16 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:04:46 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:04:46 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:04:46 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:05:16 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:05:16 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:05:16 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:05:46 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:05:46 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:05:46 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:06:16 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:06:16 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:06:16 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:06:46 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:06:46 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:06:46 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:07:16 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:07:16 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:07:16 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:07:46 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:07:46 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:07:46 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:08:16 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:08:16 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:08:16 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:08:46 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:08:46 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:08:46 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:09:16 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:09:16 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:09:16 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
